Office	Candidate Name	Party	Machine Votes	Absentee Votes	Total Votes	Percent Votes	Election Date	Data as of
President and Vice President	JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS	Democratic Party	167,524	127,896	295,420	0.588	11/3/20	11/4/20 17:23
President and Vice President	DONALD J. TRUMP AND MICHAEL R. PENCE	Republican Party	167,835	32,024	199,859	0.3978	11/3/20	11/4/20 17:23
President and Vice President	HOWIE HAWKINS AND ANGELA NICOLE WALKER	Green Party Of Delaware	1,422	712	2,134	0.0042	11/3/20	11/4/20 17:23
President and Vice President	JO JORGENSEN AND JEREMY "SPIKE" COHEN	Libertarian Party	3,740	1,239	4,979	0.0099	11/3/20	11/4/20 17:23
U.S. Senator	CHRISTOPHER A. COONS	Democratic Party	163,948	127,056	291,004	0.5945	11/3/20	11/4/20 17:23
U.S. Senator	LAUREN WITZKE	Republican Party	155,723	29,721	185,444	0.3789	11/3/20	11/4/20 17:23
U.S. Senator	MARK W. TURLEY	Independent Party Of Delaware	5,129	2,675	7,804	0.0159	11/3/20	11/4/20 17:23
U.S. Senator	NADINE M. FROST	Libertarian Party	3,640	1,581	5,221	0.0107	11/3/20	11/4/20 17:23
Representative in Congress	LISA BLUNT ROCHESTER	Democratic Party	157,994	122,642	280,636	0.5765	11/3/20	11/4/20 17:23
Representative in Congress	LEE MURPHY	Republican Party	161,594	34,142	195,736	0.4021	11/3/20	11/4/20 17:23
Representative in Congress	CATHERINE S. PURCELL	Independent Party Of Delaware	4,098	2,565	6,663	0.0137	11/3/20	11/4/20 17:23
Representative in Congress	DAVID L. ROGERS	Libertarian Party	2,652	1,141	3,793	0.0078	11/3/20	11/4/20 17:23
Governor	JOHN C. CARNEY JR.	Democratic Party	165,427	126,734	292,161	0.5947	11/3/20	11/4/20 17:23
Governor	JULIANNE E. MURRAY	Republican Party	159,065	30,659	189,724	0.3862	11/3/20	11/4/20 17:23
Governor	KATHY S. DEMATTEIS	Independent Party Of Delaware	3,843	2,290	6,133	0.0125	11/3/20	11/4/20 17:23
Governor	JOHN J. MACHUREK	Libertarian Party	2,415	836	3,251	0.0066	11/3/20	11/4/20 17:23
Lieutenant Governor	BETHANY HALL-LONG	Democratic Party	161,289	123,614	284,903	0.5915	11/3/20	11/4/20 17:23
Lieutenant Governor	DONYALE HALL	Republican Party	162,256	34,483	196,739	0.4085	11/3/20	11/4/20 17:23
Insurance Commissioner	TRINIDAD NAVARRO	Democratic Party	165,182	120,801	285,983	0.5949	11/3/20	11/4/20 17:23
Insurance Commissioner	JULIA PILLSBURY	Republican Party	158,355	36,376	194,731	0.4051	11/3/20	11/4/20 17:23
State Senator District 1	SARAH MCBRIDE	Democratic Party	9,772	7,089	16,861	0.733	11/3/20	11/4/20 17:23
State Senator District 1	STEVEN WASHINGTON	Republican Party	4,991	1,152	6,143	0.267	11/3/20	11/4/20 17:23
State Senator District 5	KYLE EVANS GAY	Democratic Party	6,878	6,596	13,474	0.5231	11/3/20	11/4/20 17:23
State Senator District 5	CATHERINE A. CLOUTIER	Republican Party	8,760	3,522	12,282	0.4769	11/3/20	11/4/20 17:23
State Senator District 7	SPIROS MANTZAVINOS	Democratic Party	6,472	3,926	10,398	0.5136	11/3/20	11/4/20 17:23
State Senator District 7	ANTHONY DELCOLLO	Republican Party	7,981	1,868	9,849	0.4864	11/3/20	11/4/20 17:23
